review_id,AED_ID_1,AED_ID_2,building_1,building_2,road_1,road_2,postal_code_1,postal_code_2,location_1,location_2,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,rule,confidence,reason,human_label,reviewer_note
51,449895-003,449895-001,East Coast Park Office,East Coast Park Office,East Coast Parkway,East Coast Parkway,449895,449895,Level 1 NParks Office (Buggy),Level 1 Behind NParks Office (Near Toilet),1.29774797,103.9013901,1.29774797,103.9013901,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
52,449895-004,449895-001,East Coast Park Office,East Coast Park Office,East Coast Parkway,East Coast Parkway,449895,449895,Level 1 NParks Office (Buggy),Level 1 Behind NParks Office (Near Toilet),1.29774797,103.9013901,1.29774797,103.9013901,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
53,469724-001,469724-002,Bedok Reservoir MRT Station,Bedok Reservoir MRT Station,Bedok North Avenue 3,Bedok North Avenue 3,469724,469724,Near Passenger Service Centre (DTL),Platform Level (DTL),1.33663797,103.9320984,1.33663797,103.9320984,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
54,479481-001,479481-002,Bedok North MRT Station,Bedok North MRT Station,Bedok North Road,Bedok North Road,479481,479481,Platform Level (DTL),Near Passenger Service Centre (DTL),1.33480001,103.9178009,1.33480001,103.9178009,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
55,485985-001,485985-002,Expo MRT Station,Expo MRT Station,Expo Drive,Expo Drive,485985,485985,Near Passenger Service Centre (DTL),Platform Level (DTL),1.33538306,103.9623718,1.33538306,103.9623718,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
56,485990-001,485990-002,Upper Changi MRT Station,Upper Changi MRT Station,Upper Changi Road East,Upper Changi Road East,485990,485990,Near Passenger Service Centre (DTL),Platform Level (DTL),1.34174001,103.9614716,1.34174001,103.9614716,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
57,498992-002,498992-001,Changi Beach Park,Changi Beach Park,Nicoll Drive,Nicoll Drive,498992,498992,Level 1 NParks Office (Buggy),Level 1 Outside NParks Office,1.39160001,103.9898987,1.39160001,103.9898987,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
58,378956-001,378956-002,MacPherson MRT Station,MacPherson MRT Station,Circuit Link,Circuit Link,378956,378956,Platform Level (DTL),Platform Level (DTL),1.32630003,103.8895035,1.32630003,103.8895035,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
59,378956-001,378956-003,MacPherson MRT Station,MacPherson MRT Station,Circuit Link,Circuit Link,378956,378956,Platform Level (DTL),Near Passenger Service Centre (DTL),1.32630003,103.8895035,1.32630003,103.8895035,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
60,378956-002,378956-003,MacPherson MRT Station,MacPherson MRT Station,Circuit Link,Circuit Link,378956,378956,Platform Level (DTL),Near Passenger Service Centre (DTL),1.32630003,103.8895035,1.32630003,103.8895035,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
61,379314-001,379314-002,Mattar MRT Station,Mattar MRT Station,Merpati Road,Merpati Road,379314,379314,Platform Level (DTL),Near Passenger Service Centre (DTL),1.32690001,103.8833008,1.32690001,103.8833008,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
62,408899-001,408899-002,Ubi MRT Station,Ubi MRT Station,Ubi Avenue 2,Ubi Avenue 2,408899,408899,Platform Level (DTL),Near Passenger Service Centre (DTL),1.33000004,103.8992996,1.33000004,103.8992996,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
63,409057-001,409057-002,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B2 EPN Carpark Lift Lobby 1,Level B1A EPN Carpark Lift Lobby 1,1.31559002,103.8927994,1.31559002,103.8927994,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
64,409057-001,409057-003,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B2 EPN Carpark Lift Lobby 1,Level B1 EPN Carpark Lift Lobby 1,1.31559002,103.8927994,1.31559002,103.8927994,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
65,409057-001,409057-004,PLQ Mall,PLQ Mall,Paya Lebar Road,Paya Lebar Road,409057,409057,Level B2 EPN Carpark Lift Lobby 1,Level 1 EPN Carpark Lift Lobby 1,1.31559002,103.8927994,1.31559002,103.8927994,,EXACT_COORDINATES,HIGH,Records have identical latitude and longitude but different AED IDs.,UNREVIEWED,
